,name,country,city,address,hotel.name,review,rating,impression,expectation,bert_impression
1179,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,US,Miami,50 SW 12th St,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,"My wife and I stayed at the Brickell prior to our cruise on NCL. We were first impressed with the staff...Victoria at the front desk was absolutely charming and helpful...a nice way to start a visit. To add to our satisfaction, George the consignor was very courteous and attended to getting our transportation to the cruise line the next day... More",5,positive,positive,positive
1180,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,US,Miami,50 SW 12th St,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,"This hotel was great, we loved the location-close to dining, shopping and publix. It is also very close to the metro-rail which is what we took from the airport to the hotel! It is 2.25 a person! Such a good deal and we were to the hotel from the airport in about 20min including our walking time! In the morning... More",5,positive,positive,positive
1181,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,US,Miami,50 SW 12th St,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,"I booked four rooms eight months in advance at this Hampton. The location and the hotel itself were very nice. We arrived early and checked with the front desk to see if our rooms may be ready...even though we knew check in wasn't until 3. They advised they were not ready, no problem, so we went shopping and ate lunch.... More",4,positive,positive,positive
1182,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,US,Miami,50 SW 12th St,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,"This hotel is very nice, check in is on the 6. Floor. It was a bit unusual....it sit atop a parking garage. I use say it was a bit unusual, but you park on the 5. Floor and take the elevator up to the 6.floor. check in was fast and the personal there was very nice. We received 2 free... More",4,positive,positive,positive
1183,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,US,Miami,50 SW 12th St,Hampton Inn & Suites By Hilton Miami/Brickell-Downtown,"For 3 years we have cruised out of Miami and for 3 years we have stayed at Hampton Inn and Suites, Brickell. It was fabulous on our first visit and it remains fabulous for each visit since then. We consider no other hotel in Miami! The rooms and beds are wonderful and the staff outstanding. A wonderful, incredibly varied, breakfast... More",5,positive,positive,positive
1184,Americas Best Value Inn Suites-lexington Park,US,Lexington Park,21847 Three Notch Rd,Americas Best Value Inn Suites-lexington Park,"Sorry to have to say that this was a total disappointment. When I checked in, I was told that someone had called and cancelled the last two nights. I informed the clerk that did not happen and she argued that there was a note on the booking. I should have left then. The room was sprayed with something to cover... More",1,negative,negative,negative
1185,Red Roof Plus+ Baltimore Washington Dc/bw Parkway,US,Hanover,7306 Parkway Dr,Red Roof Plus+ Baltimore Washington Dc/bw Parkway,"This is a clean, quiet, friendly hotel near maryland live casino. I always stay here when i pass thru baltimore. I've stayed here over 30 times in past 2 years. The front desk staff is so wonderful and they always go above and beyond to take care of my needs. Especially Shelley and Chrystal who are always there to help... More",5,positive,positive,positive
1186,Sunset Inn,US,Friendsville,818 1st Ave,Sunset Inn,"Really you have to discard your first impression. And, if we are honest, your second. I opened the door to my room and feared I had selected the wrong option in Friendsville -- but in my experience after a few days, I think I would stay again. My room was a king room on the second floor facing the pool.... More",3,neutral,positive,positive
1187,Crystal Beach Hotel,US,Ocean City,2500 N Baltimore Ave,Crystal Beach Hotel,"My wife and I started shopping around for a oceanfront hotel ,on the boardwalk, in Ocean City MD about a month before our trip. We checked rates and reviews on many places and found this to be the best. The hotel has been nicely refurbished and everything was good and in working order. We had a non oceanfront room, but... More",4,positive,positive,positive
1188,Crystal Beach Hotel,US,Ocean City,2500 N Baltimore Ave,Crystal Beach Hotel,"Stayed here Memorial Day Weekend 2016, we had a king room with jacuzzi, non-ocean view. The room was very clean, well maintained, and the bed was very comfortable. Our room had a mini fridge, small kitchen sink, and a microwave. This hotel IS PRIME LOCATION on the Boardwalk at 25th street, far enough away from the beach bars to not... More",4,positive,positive,positive
1189,Hilton Concord,US,Concord,1970 Diamond Blvd,Hilton Concord,"The Hilton Hotel is located very close to all major shopping in the Concord area. The hotel itself is a nice example of a Hilton hotel, and the staff and rooms reflect that level of service. Expect to be taken care of well.",5,positive,positive,positive
1190,Motel 6 Naperville,US,Naperville,1585 Naperville Wheaton Rd,Motel 6 Naperville,Above par when comparing with the other motels in this area. No breakfast which is normal in all the Motel 6's. Recommend to all my friends who visits Naperville Chicago area. 5 mins from the Naperville Train station which makes commuting to Chicago downtown easier. Multiple corporate offices are near by. Wendy's and McD are in walking distance and multiple... More,5,positive,positive,positive
1191,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,The hotel gave me a room according to my request/ preference. The room was on the higher floor and facing to the river. The check-in process was very quick and simple. The location was superb as it is situated right in the down town area...More,5,positive,positive,positive
1192,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"As being a guest in Chicago, you can afford the luxury of spending a couple of hours on the architectural tour through downtown Chicago. The first building they tell you about is the River hotel. Situated opposite the Trump tower, you get a feeling of...More",3,neutral,neutral,positive
1193,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"I stayed here with a friend for two nights. The staff was very friendly and the place was clean and felt safe. It is located right between the magnificent mile and the millennium park, which had many attractions worth going for a tourist.",5,positive,positive,positive
1194,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"I booked through hotwire. The location was excellent, however the room I got was the smallest room available. It was no bigger than a cruise ship inside cabin. Housekeeping forgot to leave soap and towels one day. Overall its an ok hotel for the price.",3,neutral,neutral,neutral
1195,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"My husband and I recently stayed one night at the River Hotel. The room was clean, but small. For an overnight stay it was perfect for our needs. Will definitely return for short stays in the city!!!!!",5,positive,positive,positive
1196,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,Stayed here with my wife 7/26 27 hotel is in a great spot in the city just off of the river and directly across from the Trump building. It is within walking distance of Navy Pier and surrounded by great restaurants. The restaurant within the hotel has a very extensive menu though we didn't eat there. But we did have a few drinks and the staff is very hospitable. If the weather had been cooler we would,4,positive,positive,positive
1197,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,The best hotel so far I have stayed. Staffs are very friendly especially the manager (Pedro) he was very sweat. I miss that hotel now...They were able to offer early check in which really helped us as we took early morning flight... Thank you.,5,positive,positive,positive
1198,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,Our recent stay at the River Hotel was excellent. We stayed in the two bedroom suite since we were a family of 4. The staff was very friendly and helpful. The location is great we could walk to almost anywhere!,5,positive,positive,positive
1199,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We stayed at the River Hotel for 3 nights over New Years and very much enjoyed our stay. GREAT location for all of the New Years events put on by ChiTown Rising. The staff was wonderful and even got us a room with a better view at check-in. Pedro was great at the front desk!!! Rooms are smaller than what you would find in other hotels, but there is so much to do in Chicago we really only spent time in ",5,positive,positive,positive
1200,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We stayed here March 8-10, 2013. Check-in was breeze. Very friendly staff. The room was better than I expected it to be. We were within walking distant to many stores, restaurants, Navy Pier, L stops and bus stops. The workout room was much smaller than the photo depicted but was well equipped for it's size. I would definitely recommend their valet parking. Very affordable with unlimited in and out pri",4,positive,positive,positive
1201,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"My daughter and I went to Chicago to check out potential college choices and stayed at this hotel. Checking in was fast, easy, and the staff was very professional. The front lobby is not quite as exquisite as The Four Seasons, so if that is...More",5,positive,positive,positive
1202,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Great location, close to where I need to go. Friendly staff, clean room! Got free upgrade to a suite. It will be very convenient for a family travel. The two bathrooms and bedrooms are at the two ends of the suite. The sitting area and the kitchen are in the center of the suite.",5,positive,positive,positive
1203,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"I absolutely LOVED by stay at the River Hotel. Just steps from the Chicago River, Michigan Avenue, and the train, everything that I needed was so close by! My room was clean and warm, the shower pressure was great, the view of the river was...More",5,positive,positive,positive
1204,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,What a mess. The elevator had no lights. Our key card for the elevator don't work. It stopped 2 floors before our floor. We kept gettin off and switching elevators until the key finally worked. Our room keys didn't work. We were on the 23rd...More,1,negative,negative,negative
1205,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Room very very small, no view. Sink was clogged not enough towels when we arrived but was fixed right away when brought to your attention. A safe would have been nice. 655 for 2 days (includes valet parking) was pricey for what we are used to, otherwise we enjoyed our stay. Staff was excellent room nice clean. Great air conditioning",5,positive,neutral,neutral
1206,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We loved the location of this hotel, right by the river within easy walking distance of both the loop and magnificent mile. Staff were friendly helpful. The room was clean comfortable.",4,positive,positive,positive
1207,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,First the room was super tiny. Like so tiny you could sit on the toilet and reach out and touch the bed. We could hear rats running in the ceiling. There were several holes in the sheets. It is not worth the money and there are so many other great choices in Chicago. ,1,negative,negative,negative
1208,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Because it was our first trip to Chicago, we worried about choosing a hotel by the web. Ended up at the River Hotel and were happily and totally satisfied. Our 2 BR, 2 BA suite worked very well for the family. Dcor was up-to-date, beds comfortable, and kitchen adequate. Baths were very nice. Good exercise facility and handy laundry. Staff extremely helpful. Location was great - on the Chicago River, ne",5,positive,positive,positive
1209,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,Stayed here 10/22-10/27/2017. I live in Chicago's north suburbs and had to be downtown early for long days working. Stayed here to avoid the commute. Worked out really well. The rooms are small but excellent for a solo business person. The location is excellent for business in the Loop. Price is excellent too.,4,positive,positive,positive
1210,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"This is the second time at this hotel. Tim was amazing, knowledgeable and kind. Great employees and environment. The soup at their restaurant was excellent. Thank you for making Chicago fun! Heather Acord",5,positive,positive,positive
1211,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We booked a 2 night stay at the River Hotel for a quick weekend trip. It was our first trip to Chicago. We learned about the hotel through TripAdvisor and read the reviews by others before we decided. It was a true gem! Upon check-in,...More",5,positive,positive,positive
1212,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Fantastic everything. Flexible staff, internet, creature comforts. Filtered water outlets on every floor. Wonderful bed. Beautiful building. Prime Chicago location. Best week in our 10 week journey around America.",5,positive,positive,positive
1213,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,We loved the location of this hotel in the center of everything in Chicago. The room was on the small side but very comfortable and pleasant. Our view of the Chicago River was spectacular. I would definitely stay there again.,4,positive,positive,positive
1214,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Great location. From the staff. They need to remodel the elevator and some parts of the hotel. Siri did not work for two days in a row. I told the lady at the front desk and she offered no compensation,",3,neutral,negative,neutral
1215,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We had a great experience at River Hotel. Due to airline issues, we arrived at 1:00 am, and they held our room for us and even gave us a river view at our request upon arrival. They gave us restaurant recommendations and helped out with getting around. We never felt like our questions were bothering them or they were too busy for us. They even helped us print our return flight tickets before leaving.We",5,positive,positive,positive
1216,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We stayed at the Club Quarters on Wacker the first weekend in April. We were in tower room 3302. Wasn't sure what to expect, but the service was great from the start. The front desk offered to make any dinner reservations we needed. We took...More",4,positive,positive,positive
1217,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"The hotel is located very close to Michigan Ave. and has great access to the Mag mile and the loop. Service is excellent and friendly from the staff we came across. The hotel is very focused on self service from the check in, retrieving additional...More",3,neutral,positive,positive
1218,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We chose this hotel because it is within walking distance to all the sites we intended to visit. What a nice surprise. This hotel harkens back to the day when the customer really is important. From check in to check out, the staff were friendly,...More",5,positive,positive,positive
1219,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Stayed at the River Hotel Thursday night for a quick two trip to enjoy some Chicago fun with the wife. This is a great little boutique hotel on the Chicago River, just a block off Michigan Ave. Clean, modern decor room - all interior was...More",5,positive,positive,positive
1220,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"On a vacation to Chicago IL we made reservations at the River Hotel. From the excellent care from Roman King upon our arrival to the very efficient, clean and comfortable room our stay at the River Hotel was wonderful. The River Hotel goes above and beyond the traveler's expectations with very helpful extras. The complimentary chilled purified water in refillable bottles and complimentary laundry facil",5,positive,positive,positive
1221,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"My wife and I were excited to get a weekend away without our kids. The plate was set: Grandma/Grandpa had the kids, our flight was actually on time, easy transit to the hotel from Midway and then we open the door to our room...... It...More",2,negative,positive,positive
1222,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,We wanted a classical hotel in the Chicago Loop. The River Hotel was perfect. We had great views of the Chicago River from the 20th floor. We even watched the bridges open on Wednesday morning to let boats through (you can check the schedule online)....More,5,positive,positive,positive
1223,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"For the money, this is a great hotel. It's not for you if you want a spacious room, but it is if location and price is important. It is close to Michigan Ave, the L, State St. shopping and River North. The room was very...More",4,positive,positive,positive
1224,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Hotel was fine and front desk staff were pleasant. Room was clean and had a good view over the river facing Trump Tower. Location was ideal. Only downsides were draft from window, there was no refrigerator and breakfast was not included. Skipping on breakfasts, however,...More",4,positive,positive,positive
1225,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We just wanted to experience a quick get-a-away from Detroit....so my husband and I traveled with another couple to Chi-Town all the while, asking our brother and sister-n-law from South Bend to meet us there as well. We absolutely had a BALL....the Club Quarters and...More",4,positive,positive,positive
1226,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Perfect location, excellent nicely-furnished contemporary room and fabulous food to make our stay in the Windy City a memorable experience. Love the filtered water available to refill your own bottles.",5,positive,positive,positive
1227,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Got a nice room after a mixup at the reception/maintenance. (Spent one night in a very small room, business traveler, 6 nights.) So, after one night I got a room I payed for. After this trouble, I felt, that this hotel is very nice, well...More",4,positive,positive,positive
1228,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,1. Took the CTA from the airport and the hotel is walking distance from the blue line station 2. Right on the river and opens up to stunning views of downtown 3. Walking distance to all eating places 4. Really good food in their own...More,5,positive,positive,positive
1229,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,Ignore any reviewers who hate the small rooms! Ask for a room on a higher floor and you might be rewarded with an amazing morning view of the sun hitting the gold of the Carbide and Carbon building in the loop. Wow!! My single small...More,4,positive,positive,positive
1230,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Room was well worth the money. Valet was very accommodating and pleasant. Perfect location right off corner of Wacker Michigan Ave along river. GoChicago cards and info right across street. River taxis go between Michigan Ave and Navy Pier. House of Blues right across river. Room was small but very clean. Nothing fancy, but still nice.",4,positive,positive,positive
1231,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"My husband and I recently stayed at the River Hotel while on a long weekend getaway to Chicago. It is in the absolute heart of downtown, and VERY conveniently within walking distance of just about everything touristy (Magnificent Mile, the bean at Millenium Park, we even walked all the way to the Shedd Aquarium). We got a really good rate for the room. It was small, however was still cozy. We had a riv",4,positive,positive,positive
1232,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We had booked a standard room at Club Quarters Wacker which we found is located in the River Hotel. We were offered an upgrade to a Junior Suite for just 20 per night so checked out both rooms. The standard, although nicely appointed, was so...More",5,positive,positive,positive
1233,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We stayed here one night and normally wouldn't be able to afford a hotel on the Magnificent Mile. The room was small but very clean and modern. The bed was very comfortable and we had a quiet night's sleep.Didn't check out the hotel's restaurant but there were plenty within walking distance as well as bars and clubs, and close cafes in the morning. Overall, great value",4,positive,positive,positive
1234,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,This is a lovely hotel next to the Chicago River and two blocks from Michigan Ave. The staff were incredibly helpful. The room was not large but was very comfortable. We stayed in the Clubquarters section of the hotel. Snacks are provided during the day and each floor has a water station with chilled filtered water.,5,positive,positive,positive
1235,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Location is perfect, you can walk to the millennium park, stores, restaurants, theaters, subway. Room was beautiful and they have great staff. We Checked out to go for a walk and they kept our luggage at the lobby because our flight was late at night.",5,positive,positive,positive
1236,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Nice clean hotel. Decent room size. Very good location near the magnificent mile and the lake. But the staff makes it stand out. Very very good, friendly, helpful. Shanti was amazing, she helped be negotiate uber to get back to the airport! .Pedro on reception too, above and beyond!Thank you, nicolani74, for taking the time to post a review for the TripAdvisor community. I love being able to pass along",5,positive,positive,positive
1237,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"This was a pretty decent hotel for business travel. The room and bed was comfortable. The rooms are definitely small, but I didn't really spend much time in my room anyway. I didn't love that you have to go to a utility closet outside of your room to grab a ironing board and iron, but not a big deal -- kind of unique and boutiquey, I guess. This is definitely a unique hotel and modern hotel.The water p",3,neutral,neutral,neutral
1238,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"I have stayed at many hotels in Chicago - almost never do I stay at the same place twice. That changed with the River Hotel. On top of the ideal location, the staff is helpful and friendly. The rooms are nicely decorated, clean, and well...More",5,positive,positive,positive
1239,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We had a good experience here. It is a bit pricey for the amenities and the size of the room, but fit our needs. The rooms are a lot smaller than most hotels. This was fine as we used the room as a home base and not a hang out place. The bed seemed somewhere between a queen and a full size. We did find a long hair on the mattress pad (I check for bed bugs, and you should too! I didn't find any or exper",4,positive,positive,positive
1240,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"My three night stay was absolutely perfect. The check in process was so easy it seriously took 3 min . The girl that helped me checking in was so friendly and welcoming . I had a long flight and horrible cab ride and this young woman was so refreshing. My room was clean , modern and quiet. The room had a keurig coffee machine which was nice . They have free cold filtered water and bottles on ever floor",5,positive,positive,positive
1241,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"When I first arrived at the River Hotel, I was exhausted from my early flight from New York City. Not anticipating that a room would be available, I was pleasantly surprised to discover that they already had one ready for me! I briefly went to...More",5,positive,positive,positive
1242,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"This hotel could not be better situated , right on the river a block from Michigan Ave.As a result it is within walking distance of most of what anyone would want to see in Chicago.The rooms are a good size , well appointed and clean.A pity the area adjacent to the elevator on the 14th floor wasn't vacuumed for the 4 days we were there..",4,positive,positive,positive
1243,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"I had a week-end in this delightful hotel. The staff were welcoming, cheerful, helpful and polite. The two rooms we had were spotless and the beds comfortable and clean. The rooms are not big but perfectly adequate. There is a restaurant right inside the hotel and the food was excellent. I would definitely go back if I am ever in Chicago again, as will my son when he takes his wife. ",5,positive,positive,positive
1244,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,Very nice hotel.. excellent staff. Room was very clean and nicely appointed. The shower was a little cramped and odd shaped. But it was really nice overall...including evening wine. Will come back in the future.,4,positive,positive,positive
1245,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"We stayed at Club Quarters this weekend. It was the SMALLEST room we've ever stayed in. It was fine for one person and even though the room was well appointed, it really didn't fit our needs. Plus we were in the Tower. Very scary looking...More",3,neutral,negative,negative
1246,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"The River Hotel is a very special place perfectly located in a beautiful old building, right downtown and with a spectacular view of the river and its bustle from our window. The place is really warm and comfortable.We would stay there again in a heartbeat.",5,positive,positive,positive
1247,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,"Our stay was made very memorable by the incredible view of the Chicago River this hotel provided as well as a very pleasant stay in the hotel itself. We stayed on the 16th floor with an amazing view of the river. We chose a small room, but it was still well designed and comfortable. Great artwork! We appreciated the free wi-fi and coffee in our room as well. Our room was clean and quiet at night. Jay w",5,positive,positive,positive
1248,River Hotel,US,Chicago,75 E Wacker Dr,River Hotel,No frills hotel but clean and safe. Our room was on the 8th floor with a bit of a river view And small but we spent so little time in the room that it didn't matter. Staff was friendly and helpful.,4,positive,positive,positive
1249,Economy Inn Suites,US,Harrisburg,411 E Poplar St,Economy Inn Suites,"I stayed there last night after bicycling the tunnel hill trail from Karmak. Super clean rooms, very affordable and within walking distance of two good eating and drinking establishments. A great find after a long hot bicycle ride. The lady at the front desk was very nice although she wasn't excited about me keeping my bike in the room. They... More",5,positive,positive,positive
1250,Best Western Plus-macomb Inn,US,Macomb,1655 E Jackson St,Best Western Plus-macomb Inn,"Every part of the experience was 5-star. Yet the price was barely more than the older hotels in town. Very quiet rooms despite being next to the highway. Restaurants nearby, but not really walkable due to the highway. Nice pool.",5,positive,positive,positive
1251,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"I have travelled from Ontario, Canada to Best Western Valley View several times Most recently December 2015, February 2016 and I have scheduled again for this coming weekend. The staff are fabulous, the hotel is really clean and the breakfast is great! My 3 year old grand-daughter is starting to learn sign language and the manager taught her how to... More",5,positive,positive,positive
1252,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,I visited this place last summer and it was one of the good hotel i visited so far. Quite and comfy. Front desk lady was nice. Big room and good breakfast. Lots of good restaurants nearby.Room is clean.,5,positive,positive,positive
1253,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,The hotel was very nice and the breakfast was delicious but the buffet area is extremely cramped. Would be nice if they had pay per view so we could have watched the fight but other than that no complaints!,4,positive,positive,positive
1254,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,This hotel was so clean. So well kept. The value and then to have a hot breakfast included was fantastic. I would recommend anyone to stay here. This was our half way piont driving from PA to Nashville.,5,positive,positive,positive
1255,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,Stayed at this fine establishment for the second time since November and our experience was literally a mirror image of our first stay. Lori Womack is the GM and she and her entire staff are very focused on the guest experience and it shows in the details. We asked for a king room near the lobby and that is what... More,5,positive,positive,positive
1256,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,Staff very helpful and friendly. Great price! Clean remodeled room. Close to area restaurants. Very good breakfast! Will be back as I travel to Roanoke often. This was a last minute find and I couldn't be happier!,5,positive,positive,positive
1257,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"Quiet, friendly, clean, love the fresh cookies that greeted us. Nice full hot breakfast., more than just a waffle. Comfy bed, tub, spacious.i would defiantly recommend a stay here. Lots of parking too. Nice staff.",5,positive,positive,positive
1258,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"Come for the clean rooms and fluffy pillows but STAY for the full American Breakfast! Make your own waffle, pile on scrambled eggs, sausage patties, cover with sausage gravy. Then add a side of sausage flavored home fries and a croissant roll. Wash down with nice coffee and orange juice. Ahhhh. Traveling on a diet! I tried to steal the... More",5,positive,positive,positive
1259,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"My husband I were traveling back to NY from Nashville. After driving many hours hundreds of miles, we needed a clean comfortable bed to sleep in. We stopped at the Best Western hoping they had availability, they did. The room was large, very clean, the bed was comfortable we even got free breakfast in the morning. I... More",5,positive,positive,positive
1260,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"Room was very clean. Breakfast was good. Only problem is that the breakfast serving area is too small and too crowded for the large number of guests. Attendant did a good job keeping the items stocked, but again not a good location and size to try and feed so many guests. Very frustrating!!",4,positive,negative,negative
1261,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"Outstanding! Many thanks to the management and staff for going over and above the call of duty to help out our animal rescue group! We drove overnight from Tennessee to meet another rescue group from Connecticut to deliver a huge load of former shelter dogs and cats on their way to the cool, blue north! Best Western at Valley View... More",5,positive,positive,positive
1262,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"Quiet, friendly, clean, love the fresh cookies that greeted us. Nice full hot breakfast., more than just a waffle. Comfy bed, tub, spacious.i would defiantly recommend a stay here. Lots of parking too. Nice staff.",5,positive,positive,positive
1263,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"Our stay was great we have stayed there a few times and loved it each time. The staff is very nice and helpful, the rooms are always very clean and comfortable. Really enjoyed the indoor pool and the breakfast.",5,positive,positive,positive
1264,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"I have travelled from Ontario, Canada to Best Western Valley View several times Most recently December 2015, February 2016 and I have scheduled again for this coming weekend. The staff are fabulous, the hotel is really clean and the breakfast is great! My 3 year old grand-daughter is starting to learn sign language and the manager taught her how to... More",5,positive,positive,positive
1265,Best Western Plus Inn at Valley View,US,Roanoke,5050 Valley View Blvd NW,Best Western Plus Inn at Valley View,"This is the second time we have stayed at this fine hotel while traveling from South Carolina back to CT and we will continue to do so! Staff and facilities were welcoming and location was close to many eating establishments. Heated pool, great welcome bag to Best Western Elite members and cheerful front desk made this a great experience!",5,positive,positive,positive
1266,Route 66 Motel,US,Barstow,195 W Main St,Route 66 Motel,"This is our 2nd hotel that we've stayed at on Route 66. The price was very reasonable but with that price comes some sacrifices. One of them being is no breakfast. The rooms are small, quaint and the beds were comfortable. The hotel that we stayed at the night before outside of Sequoia National Forest was twice the price and... More",3,neutral,positive,positive
1267,Route 66 Motel,US,Barstow,195 W Main St,Route 66 Motel,"First of all, it's a miracle that this motel is still standing and mostly functional. It's very authentic for what it was built for, which is to say cheap, one-night lodging for people driving long distance. But this place is not for everyone, at least. The rooms are spartan, in keeping with earlier times, and not very big. Our room... More",2,negative,neutral,neutral
1268,Oceanfront Inn,US,Virginia Beach,2901 Atlantic Avenue,Oceanfront Inn,Will definitely stay again. Employees are exceptional. Always smiling and knowledgeable. Loved the private balcony and the view. Indoor heated pool was great. Bathroom is small. The mattresses are a little to firm and pillows are a to soft.,4,positive,positive,positive
1269,Desoto Inn & Suites,US,Missouri Valley,1967 Highway 30,Desoto Inn & Suites,"Late in the day after 11 hours of driving, along this stretch of I-29 there's few options so we chose the Desoto Inn. Big mistake. First, the non-smoking room we were assigned wreaked of smoke. Okay, change rooms. Our next room assignment had mold in the bathroom and ants on the a-c. That's enough negatives for anyone but we were... More",1,negative,negative,negative
1270,Super 8-dalton,US,Dalton,911 Market St,Super 8-dalton,This hotel is very nice. Young lady at front desk was helpful and kind. Rooms look exactly like it does on web. Very clean and neat. The hotel is surrounded with all types of places to eat within walking distance,5,positive,positive,positive
1271,Carousel Inn,US,Trion,14230 Highway 27,Carousel Inn,It is a family ran motel. At first it didn't look very appealing but i asked to see the room. I was not expecting much from the rooms either just needed a place to rest. i was pleasantly surprised when i saw the rooms they were a lot better than what i had expected. The bathroom was clean and the... More,4,positive,positive,positive
1272,Pelican Place,US,Pompano Beach,3221 Ne 7th Pl,Pelican Place,"We stayed 2 nights at the Pelican by the Sea Motel. We were in town for the Seafood festival which was only a short 10 minute walk from the hotel. The room was very clean with plenty of extra pillows, towels, soaps etc. The only reason I did not give a 5 star rating is because the A/C would not... More",4,positive,positive,positive
